"specialty","visiting_city","visiting_site","visiting_lat","visiting_lon","frequency","origin_site","origin_city","origin_lat","origin_lon","consultant_name"
"General Surgery","Independence","Buchanan County Health Center","42.46763","-91.89175","1/MO","Cedar Valley Med Spec - Breast Care Center","Waterloo","42.49347","-92.34364","Jayson Eric Gesme, MD"
"Medical Oncology","Independence","Buchanan County Health Center","42.46763","-91.89175","2/MO","Oncology Assoc of Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Jasmine Sabah Nabi, MD"
"Nephrology","Independence","Buchanan County Health Center","42.46763","-91.89175","2/MO","Cedar Valley Med Spec - Neph/Rheum","Waterloo","42.49347","-92.34364","Vinay K Kantamneni, MD"
"Orthopaedic Surgery","Independence","Buchanan County Health Center","42.46763","-91.89175","3/MO","Cedar Valley Med Spec - OrthoAgility Center","Cedar Falls","42.53781","-92.4534","Benjamin Lee Torrez, DO"
"Pain Medicine Anes","Independence","Buchanan County Health Center","42.46763","-91.89175","2/MO","Linn County Anesthesiologists","Hiawatha","42.03703","-91.67116","Kyle Edward Morrissey, DO"
"Physical Medicine & Rehab","Independence","Buchanan County Health Center","42.46763","-91.89175","2/MO","UnityPoint - St Luke's Hospital","Cedar Rapids","41.97805","-91.66986","Devin Robert Hilar Smith, MD"
"Pulmonary Disease","Independence","Buchanan County Health Center","42.46763","-91.89175","<1/MO","UnityPoint Clinic Multi Specialty - CR","Cedar Rapids","41.97805","-91.66986","Hamad Azam, MD"
"Rheumatology","Independence","Buchanan County Health Center","42.46763","-91.89175","3/MO","Dubuque Rheumatology","Dubuque","42.50551","-90.66731","George B Isaac, MD"
"Urology","Independence","Buchanan County Health Center","42.46763","-91.89175","<1/MO","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Steven R Mindrup, MD"
"Urology","Independence","Buchanan County Health Center","42.46763","-91.89175","<1/MO","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Thomas D Richardson, MD"
"Urology","Independence","Buchanan County Health Center","42.46763","-91.89175","<1/MO","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Jonathan M Rippentrop, MD"
"Cardiovascular Disease","Iowa Falls","Hansen Family Hospital","42.51964","-93.26546","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Muhammad Anwar Al Sharif, DO"
"General Surgery","Iowa Falls","Hansen Family Hospital","42.51964","-93.26546","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Kathryn Leighton Schwalbe, DO"
"Neurological Surgery","Iowa Falls","Hansen Family Hospital","42.51964","-93.26546","1/MO","MercyOne North Iowa Neurosurgery","Mason City","43.15362","-93.20104","Solomon Mugisha Ondoma, MD"
"Ophthalmology","Iowa Falls","Hansen Family Hospital","42.51964","-93.26546","1/3WK","Wolfe Eye Clinic - Ames","Ames","42.0268","-93.62018","Steven Oscar Anderson, MD"
"Orthopaedic Surgery","Iowa Falls","Hansen Family Hospital","42.51964","-93.26546","3/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Darron M Jones, MD"
"Otolaryngology","Iowa Falls","Hansen Family Hospital","42.51964","-93.26546","3/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Vishram Jalukar, MD"
"Urology","Iowa Falls","Hansen Family Hospital","42.51964","-93.26546","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Christopher Edelen Adams, MD"
"Urology","Iowa Falls","Hansen Family Hospital","42.51964","-93.26546","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Steven Patrick Thoma, MD"
"Cardiovascular Disease","Iowa Falls","McFarland Clinic - Iowa Falls","42.51964","-93.26546","2/MO","McFarland Clinic - Mary Greeley","Ames","42.0268","-93.62018","Jason Thomas Rasmussen, MD"
"Medical Oncology","Iowa Falls","McFarland Clinic - Iowa Falls","42.51964","-93.26546","1/MO","McFarland - William Bliss Cancer Center","Ames","42.0268","-93.62018","Venkatesh Krishnamurthy Rudrapatna, MD"
"Nephrology","Iowa Falls","McFarland Clinic - Iowa Falls","42.51964","-93.26546","1/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","Jacob C Alexander, MD"
"Orthopaedic Surgery","Iowa Falls","McFarland Clinic - Iowa Falls","42.51964","-93.26546","1/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Bryan August Warme, MD"
"Cardiovascular Disease","Jefferson","Greene County Med Center","42.01529","-94.3774","2/MO","UnityPoint Clinic Cardiology - Methodist Plaza","Des Moines","41.58882","-93.62031","Craig A Stark, MD"
"Gastroenterology","Jefferson","Greene County Med Center","42.01529","-94.3774","1/MO","Iowa Digestive Disease Center - Clive","Clive","41.60709","-93.77495","Thomas L Martin, DO"
"Physical Medicine & Rehab","Jefferson","Greene County Med Center","42.01529","-94.3774","1/MO","Iowa Clinic - Physical Med/Podiatry","West Des Moines","41.5755","-93.71303","Todd C Troll, MD"
"Urology","Jefferson","Greene County Med Center","42.01529","-94.3774","1/MO","Urology Center of Iowa","Clive","41.60709","-93.77495","Trevor Timothy Wild, MD"
"Vascular Surgery","Jefferson","Greene County Med Center","42.01529","-94.3774","1/MO","Iowa Clinic Cardiovascular - West Des Moines","West Des Moines","41.5755","-93.71303","Nicholas Mark Southard, DO"
"General Surgery","Jefferson","Greene County Specialty Clinic","42.01529","-94.3774","1/WK","Stewart Memorial Community Hospital","Lake City","42.26735","-94.73383","Josh Anthony Smith, DO"
"Allergy & Immunology","Jefferson","McFarland Clinic - Jefferson","42.01529","-94.3774","1/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Edward G Nassif, MD"
"Cardiovascular Disease","Jefferson","McFarland Clinic - Jefferson","42.01529","-94.3774","2/MO","McFarland Clinic - Mary Greeley","Ames","42.0268","-93.62018","Stuart D Christenson, MD"
"General Surgery","Jefferson","McFarland Clinic - Jefferson","42.01529","-94.3774","1/MO","McFarland Clinic/Urgent Care - Carroll","Carroll","42.06565","-94.86722","Mark Nathaniel Abraham, MD"
"Medical Oncology","Jefferson","McFarland Clinic - Jefferson","42.01529","-94.3774","1/MO","McFarland - William Bliss Cancer Center","Ames","42.0268","-93.62018","Joseph J Merchant, MD"
"Neurology","Jefferson","McFarland Clinic - Jefferson","42.01529","-94.3774","1/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","David B Moore, MD"
"Medical Oncology","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Dept of Ortho Surgery & Rehab","Iowa City","41.66124","-91.53013","Benjamin James Miller, MD"
"Neurology","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Dept of Neurology","Iowa City","41.66124","-91.53013","Christopher Scott Nance, MD"
"Neurology","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Dept of Neurology","Iowa City","41.66124","-91.53013","Andrea Jean Swenson, MD"
"Neuromuscular Medicine","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Katherine D Mathews, MD"
"Neuromuscular Medicine","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Dimah Nayef Saade, MD"
"Orthopaedic Surgery","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Dept of Ortho Surgery & Rehab","Iowa City","41.66124","-91.53013","Joshua Brent Holt, MD"
"Orthopaedic Surgery","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Dept of Ortho Surgery & Rehab","Iowa City","41.66124","-91.53013","Heather Renee Kowalski, MD"
"Pediatric - Child Neurology","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Michael Anthony Ciliberto, MD"
"Pediatric Medical Genetics","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","2/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","John Andrew Bernat, MD"
"Pediatric Medical Genetics","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Amy Rebecca Calhoun, MD"
"Pediatric Medical Genetics","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","<1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Alpa Sidhu, MD"
"Pediatric Urology","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","2/MO","UIHC - Dept of Urology","Iowa City","41.66124","-91.53013","Gina Marie Lockwood, MD"
"Pulmonary Disease","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","<1/MO","UIHC - Dept of Internal Medicine","Iowa City","41.66124","-91.53013","Douglas B Hornick, MD"
"Pulmonary Disease","Johnston","UIHC Specialty Clinic - Johnston","41.66932","-93.69765","1/WK","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Scott J Sheets, DO"
"Ophthalmology","Keokuk","River Cities Ophthalmology - Keokuk","40.41352","-91.40186","2/MO","River Cities Ophthalmology PC","Fort Madison","40.63002","-91.31349","Mark D Reynolds, MD"
"General Surgery","Keosauqua","Van Buren County Hospital & Clinic","40.72958","-91.96278","1/WK","MercyOne Surgical Group - Des Moines","Des Moines","41.58882","-93.62031","Ryan J Roe, DO"
"Obstetrics & Gynecology","Keosauqua","Van Buren County Hospital & Clinic","40.72958","-91.96278","2/MO","Womens Health Care Center","Kirksville, MO","40.19472","-92.58205","Ralph O Boling, DO"
"Orthopaedic Surgery","Keosauqua","Van Buren County Hospital & Clinic","40.72958","-91.96278","1/MO","Steindler Orthopedic Clinic","Iowa City","41.66124","-91.53013","Derek Lincoln Breder, MD"
"Pain Medicine Neurology","Keosauqua","Van Buren County Hospital & Clinic","40.72958","-91.96278","1/MO","Iowa Illinois Pain Consultants","Davenport","41.52353","-90.57704","Timothy J Miller, MD"
"Pulmonary Disease","Keosauqua","Van Buren County Hospital & Clinic","40.72958","-91.96278","1/MO","SSM St. Mary's Hospital","Jefferson City, MO","38.57691","-92.17487","Mohammad Jarbou, MD"
"Rheumatology","Keosauqua","Van Buren County Hospital & Clinic","40.72958","-91.96278","2/MO","Dr Robert W Jackson","Kirksville, MO","40.19472","-92.58205","Robert W Jackson, DO"
"Urology","Keosauqua","Van Buren County Hospital & Clinic","40.72958","-91.96278","2/MO","Premier Specialty Network","Columbia, MO","38.95155","-92.32859","Robert Edward Remis, MD"
"Allergy & Immunology","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/MO","Allergy Asthma & Sinus Center PC","West Des Moines","41.5755","-93.71303","Ravinder K Agarwal, MD"
"Cardiovascular Disease","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/MO","Iowa Heart Center - Mercy Medical Center","Des Moines","41.58882","-93.62031","Martin R Aronow, DO"
"Cardiovascular Disease","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","2/MO","Iowa Heart Center - Mercy Medical Center","Des Moines","41.58882","-93.62031","Aaron Matthew From, MD"
"General Surgery","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/WK","Iowa Specialty Surgeons","West Des Moines","41.5755","-93.71303","Paul A Conte, MD"
"General Surgery","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/WK","Iowa Specialty Surgeons","West Des Moines","41.5755","-93.71303","Timothy Paul Mayfield, MD"
"Medical Oncology","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/MO","Newton Clinic PC","Newton","41.69558","-93.04347","Dennis P Dornbier, DO"
"Medical Oncology","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/WK","Mission Cancer + Blood - MercyOne Des Moines","Des Moines","41.58882","-93.62031","Abdelaziz Mohamed Ibrahim Elhaddad, MD"
"Nephrology","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/MO","Associates in Kidney Care PLC","Des Moines","41.58882","-93.62031","Robert Nelson Smith, DO"
"Neurology","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/MO","UnityPoint Clinic Nephrology - Fort Dodge","Fort Dodge","42.50117","-94.16939","Michael WT Lee, MD"
"Neurology","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/MO","Capital Orthopaedics & Sports Med","Clive","41.60709","-93.77495","Jeffrey Allen Pederson, DO"
"Orthopaedic Surgery","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","2/MO","Capital Orthopaedics & Sports Med","Clive","41.60709","-93.77495","Mark D Fish, DO"
"Orthopaedic Surgery","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/WK","Capital Orthopaedics & Sports Med","Clive","41.60709","-93.77495","Todd Charles Peterson, DO"
"Otolaryngology","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/WK","Iowa ENT Center - West Des Moines","West Des Moines","41.5755","-93.71303","Stephen R Griffith, MD"
"Pain Medicine Anes","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/WK","Medical Center Anesthesiologists","Des Moines","41.58882","-93.62031","Allen Joseph Eckhoff, MD"
"Pain Medicine Anes","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/WK","Medical Center Anesthesiologists","Des Moines","41.58882","-93.62031","Daniel Wescott Moyse, MD"
"Pulmonary Disease","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/MO","MercyOne Clinics Pulmonary/Infectious Disease","Des Moines","41.58882","-93.62031","Neil R Horning, MD"
"Urology","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","2/MO","Urology Center of Iowa","Clive","41.60709","-93.77495","Kevin Krishna Birusingh, MD"
"Vascular Surgery","Knoxville","Knoxville Area Community Hospital","41.32073","-93.10949","1/MO","Iowa Heart Center - West Des Moines","West Des Moines","41.5755","-93.71303","David Kum-Wah Chew, MD"
"Otolaryngology","Lake City","McCrary Rost Clinic - Lake City","42.26735","-94.73383","2/MO","ENT Specialists PC","Omaha, NE","41.25865","-95.93719","Kyle Jonathan Stansifer, MD"
"Cardiovascular Disease","Lake City","McCrary-Rost Clinic","42.26735","-94.73383","1/MO","Iowa Heart Center - Carroll","Carroll","42.06565","-94.86722","Suzanne Amy Feigofsky, MD"
"Ophthalmology","Lake City","McCrary-Rost Clinic","42.26735","-94.73383","2/MO","Wolfe Eye Clinic - Spencer","Spencer","43.14137","-95.1447","Stephen Paul Fox, MD"
"Orthopaedic Surgery","Lake City","McCrary-Rost Clinic","42.26735","-94.73383","1/MO","UnityPoint Clinic Ortho - Fort Dodge","Fort Dodge","42.50117","-94.16939","Elijah Gaylen Miller, DO"
"Otolaryngology","Lake City","McCrary-Rost Clinic","42.26735","-94.73383","2/MO","ENT Specialists PC","Omaha, NE","41.25865","-95.93719","Kyle Jonathan Stansifer, MD"
"Urology","Lake City","McCrary-Rost Clinic","42.26735","-94.73383","1/MO","Siouxland Urological Assoc","Dakota Dunes, SD","42.50394","-96.49581","Timothy G Kneib, MD"
"Ophthalmology","Lake City","Rock Vision Clinic","42.26735","-94.73383","2/MO","Wolfe Eye Clinic - Ames","Ames","42.0268","-93.62018","Steven Oscar Anderson, MD"
"Cardiovascular Disease","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","2/MO","Hansen Family - Iowa Falls Clinic","Iowa Falls","42.51964","-93.26546","Thomas Samuel Waters, DO"
"Dermatology","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","2/MO","CNOS - Sioux City","Sioux City","42.49632","-96.40644","Raymond Takashi Kuwahara, MD"
"General Surgery","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","2/WK","Floyd Valley Healthcare","Le Mars","42.78818","-96.17375","Brooke Autumn Konz, MD"
"General Surgery","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","1/WK","Sioux Center Health","Sioux Center","43.07597","-96.17547","Nicholas Jon Mouw, MD"
"General Surgery","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","2/WK","Floyd Valley Healthcare","Le Mars","42.78818","-96.17375","Shahid Iqbal Naqvi, MD"
"Nephrology","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","1/MO","Renal Associates","Dakota Dunes, SD","42.50394","-96.49581","Ashar Luqman, MD"
"Nephrology","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","1/MO","Renal Associates","Dakota Dunes, SD","42.50394","-96.49581","Euclid Jerome St. Hill, MD"
"Neurology","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","1/MO","CNOS, PC","Dakota Dunes, SD","42.50394","-96.49581","Mei He, MD"
"Orthopaedic Surgery","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","1/WK","CNOS - Sioux City","Sioux City","42.49632","-96.40644","Aaron Timothy Althaus, MD"
"Otolaryngology","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","2/MO","Wagner Ear, Nose & Throat","Sioux City","42.49632","-96.40644","David V Wagner, MD"
"Urology","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","1/WK","Siouxland Urological Assoc","Dakota Dunes, SD","42.50394","-96.49581","Craig A Block, MD"
"Vascular Surgery","Le Mars","Floyd Valley Healthcare","42.78818","-96.17375","1/MO","Vascular & Interventional Specialists","Dakota Dunes, SD","42.50394","-96.49581","Chad Roger Laurich, MD"
"General Surgery","Leon","Decatur County Hospital","40.73949","-93.74797","<1/MO","Ringgold County Hospital","Mount Ayr","40.71108","-94.2332","Edwin Vincent Wehling, DO"
"Medical Oncology","Leon","Decatur County Hospital","40.73949","-93.74797","1/WK","Mission Cancer + Blood - MercyOne Des Moines","Des Moines","41.58882","-93.62031","Zeeshan Ali Jawa, MD"
"Orthopaedic Surgery","Leon","Decatur County Hospital","40.73949","-93.74797","2/MO","Quality Care Clinic & Surgicenter","Clinton","41.83893","-90.19075","Tyson K Cobb, MD"
"Orthopaedic Surgery","Leon","Decatur County Hospital","40.73949","-93.74797","2/MO","Wayne County Hospital","Corydon","40.75842","-93.31806","Shehada Mohamad Homedan, MD"
"Pulmonary Disease","Leon","Decatur County Hospital","40.73949","-93.74797","1/MO","Iowa Clinic Pulmonary","West Des Moines","41.5755","-93.71303","Daniel Lee Dodge, DO"
"Pulmonary Disease","Leon","Decatur County Hospital","40.73949","-93.74797","1/MO","Iowa Clinic Pulmonary","West Des Moines","41.5755","-93.71303","Matthew William Trump, DO"
"Urology","Leon","Decatur County Hospital","40.73949","-93.74797","2/MO","Urology Center of Iowa","Clive","41.60709","-93.77495","Brian Lane Gallagher, MD"
"Allergy & Immunology","Manchester","Regional Medical Center","42.48397","-91.45794","1/MO","Medical Associates Clinic - West","Dubuque","42.50551","-90.66731","Brad Joseph McClimon, MD"
"Cardiovascular Disease","Manchester","Regional Medical Center","42.48397","-91.45794","3+/WK","UnityPoint Clinic Cardiology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Keith Jon Kopec, MD"
"General Surgery","Manchester","Regional Medical Center","42.48397","-91.45794","3+/WK","Cedar Valley Med Spec - General Surgery","Waterloo","42.49347","-92.34364","Andrew Hans Rikkers, DO"
"Medical Oncology","Manchester","Regional Medical Center","42.48397","-91.45794","2/MO","Oncology Assoc of Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Deborah W Wilbur, MD"
"Nephrology","Manchester","Regional Medical Center","42.48397","-91.45794","1/MO","UnityPoint Clinic - Diabetes/Kidney Center","Cedar Rapids","41.97805","-91.66986","Abha Saxena, MD"
"Nephrology","Manchester","Regional Medical Center","42.48397","-91.45794","1/MO","Grand River Med Group Nephrology/HTN Clinic","Dubuque","42.50551","-90.66731","John E Whalen, MD"
"Ophthalmology","Manchester","Regional Medical Center","42.48397","-91.45794","1/MO","Fox Eye Laser Vision Inst. PC","Cedar Rapids","41.97805","-91.66986","Lee D Birchansky, MD"
"Ophthalmology","Manchester","Regional Medical Center","42.48397","-91.45794","2/MO","Fuerste Eye Clinic","Dubuque","42.50551","-90.66731","Frederick Hunter Fuerste, MD"
"Orthopaedic Surgery","Manchester","Regional Medical Center","42.48397","-91.45794","2/MO","Cedar Valley Med Spec - Ortho (W Dale)","Waterloo","42.49347","-92.34364","Mark Thomas Gorsche, MD"
"Orthopaedic Surgery","Manchester","Regional Medical Center","42.48397","-91.45794","2/MO","Cedar Valley Med Spec - Ortho (W Dale)","Waterloo","42.49347","-92.34364","Thomas S Gorsche, MD"
"Otolaryngology","Manchester","Regional Medical Center","42.48397","-91.45794","2/MO","PCI ENT Clinic","Cedar Rapids","41.97805","-91.66986","Ryan Douglas Dempewolf, MD"
"Otolaryngology","Manchester","Regional Medical Center","42.48397","-91.45794","2/MO","PCI ENT Clinic","Cedar Rapids","41.97805","-91.66986","Thomas Edward Heineman, MD"
"Pulmonary Disease","Manchester","Regional Medical Center","42.48397","-91.45794","<1/MO","UnityPoint Clinic Multi Specialty - CR","Cedar Rapids","41.97805","-91.66986","Hamad Azam, MD"
"Pulmonary Disease","Manchester","Regional Medical Center","42.48397","-91.45794","<1/MO","UnityPoint Clinic Multi Specialty - CR","Cedar Rapids","41.97805","-91.66986","Vijaya Kumar Gogineni, MD"
"Urology","Manchester","Regional Medical Center","42.48397","-91.45794","1/WK","Mercy Clinics Urology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Matthew Christopher Ferroni, MD"
"Urology","Manchester","Regional Medical Center","42.48397","-91.45794","1/WK","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Logan D Hoxie, MD"
"Urology","Manchester","Regional Medical Center","42.48397","-91.45794","1/WK","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Gregory Michael Janda, MD"
"Urology","Manchester","Regional Medical Center","42.48397","-91.45794","1/WK","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Michael Andrew Moriarty, MD"
"Cardiovascular Disease","Manning","Manning Regional Healthcare Center","41.90664","-95.06379","2/MO","University of Nebraska Med Ctr","Omaha, NE","41.25865","-95.93719","Jitendra Pandya, MD"
"General Surgery","Manning","Manning Regional Healthcare Center","41.90664","-95.06379","1/WK","Stewart Memorial Community Hospital","Lake City","42.26735","-94.73383","Josh Anthony Smith, DO"
"Obstetrics & Gynecology","Manning","Manning Regional Healthcare Center","41.90664","-95.06379","1/MO","Shenandoah Physicians Clinic","Shenandoah","40.76599","-95.37385","Michael P Woods, MD"
"Orthopaedic Surgery","Manning","Manning Regional Healthcare Center","41.90664","-95.06379","2/MO","CNOS, PC","Dakota Dunes, SD","42.50394","-96.49581","Steven J Stokesbary, MD"
"Otolaryngology","Manning","Manning Regional Healthcare Center","41.90664","-95.06379","2/MO","ENT Specialists PC","Omaha, NE","41.25865","-95.93719","David Arthur Denman, MD"
"Urology","Manning","Manning Regional Healthcare Center","41.90664","-95.06379","2/MO","Siouxland Urological Assoc","Dakota Dunes, SD","42.50394","-96.49581","Andrew Elliott Bourne, MD"
"Cardiovascular Disease","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","2/MO","Cardiovascular Medicine PC","Davenport","41.52353","-90.57704","Edmund P Coyne, MD"
"Cardiovascular Disease","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","2/MO","Medical Associates Clinic - East","Dubuque","42.50551","-90.66731","Thomas M Johnson, MD"
"Cardiovascular Disease","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","2/MO","Medical Associates Clinic - East","Dubuque","42.50551","-90.66731","Ramanujam S Ramabadran, MD"
"Obstetrics & Gynecology","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","2/MO","The Group - OB/GYN Specialists, PC","Davenport","41.52353","-90.57704","Lyndsey Jo Day, MD"
"Obstetrics & Gynecology","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","2/MO","The Group - OB/GYN Specialists, PC","Davenport","41.52353","-90.57704","Jennifer Christine Steines Wagemester, MD"
"Ophthalmology","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","1/MO","Fox Eye Laser Vision Inst. PC","Cedar Rapids","41.97805","-91.66986","Lee D Birchansky, MD"
"Ophthalmology","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","2/MO","Fuerste Eye Clinic","Dubuque","42.50551","-90.66731","Benjamin John Janson, MD"
"Orthopaedic Surgery","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","1/WK","Dubuque Orthopaedic Surgeons PC","Dubuque","42.50551","-90.66731","Ryan Patrick Cloos, DO"
"Orthopaedic Surgery","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","1/WK","Dubuque Orthopaedic Surgeons PC","Dubuque","42.50551","-90.66731","Stephen E Pierotti, MD"
"Otolaryngology","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","2/MO","Dubuque ENT Head & Neck Surgery","Dubuque","42.50551","-90.66731","Thomas J Benda, MD"
"Pain Medicine Anes","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","2/MO","Iowa Illinois Pain Consultants","Davenport","41.52353","-90.57704","Timothy J Miller, MD"
"Urology","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","1/MO","Urological Associates PC","Davenport","41.52353","-90.57704","Andrew James Lightfoot, MD"
"Urology","Maquoketa","Jackson County Regional Health Center","42.06922","-90.66293","1/MO","Urological Associates PC","Davenport","41.52353","-90.57704","David Paul Rohlf, MD"
"Dermatology","Marengo","Compass Memorial Healthcare","41.79647","-92.07434","2/MO","Epiphany Dermatology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","John H Wollner, MD"
"Ophthalmology","Marengo","Compass Memorial Healthcare","41.79647","-92.07434","2/MO","Wolfe Eye Clinic - Cedar Rapids","Hiawatha","42.03703","-91.67116","Edward Hsu Hu, MD"
"Orthopaedic Surgery","Marengo","Compass Memorial Healthcare","41.79647","-92.07434","1/WK","Capital Orthopaedics & Sports Med","Clive","41.60709","-93.77495","Ross Gerald Doehrmann, DO"
"Otolaryngology","Marengo","Compass Memorial Healthcare","41.79647","-92.07434","3+/MO","ENT Medical Services, PC","Iowa City","41.66124","-91.53013","Elyse Katharine Hanly, MD"
"Plastic Surgery","Marengo","Compass Memorial Healthcare","41.79647","-92.07434","1/MO","Dr Andrews Plastic Surgery","Coralville","41.67268","-91.57777","Kahlil Jihad Andrews, MD"
"Pulmonary Disease","Marengo","Compass Memorial Healthcare","41.79647","-92.07434","1/MO","UnityPoint Clinic Multi Specialty - CR","Cedar Rapids","41.97805","-91.66986","Brian Douglas Lindsay, MD"
"Urology","Marengo","Compass Memorial Healthcare","41.79647","-92.07434","2/MO","UnityPoint Clinic Urology - Waterloo","Waterloo","42.49347","-92.34364","Daniel K Lee, MD"
"Nephrology","Marshalltown","DaVita Marshalltown Mary Greeley Dialysis","42.03638","-92.91273","1/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","Jacob C Alexander, MD"
"Nephrology","Marshalltown","DaVita Marshalltown Mary Greeley Dialysis","42.03638","-92.91273","1/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","Lavanya Amuluru, MD"
"Nephrology","Marshalltown","DaVita Marshalltown Mary Greeley Dialysis","42.03638","-92.91273","1/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","Steven C Hallberg, MD"
"Nephrology","Marshalltown","DaVita Marshalltown Mary Greeley Dialysis","42.03638","-92.91273","1/MO","Cedar Valley Med Spec - Neph/Rheum","Waterloo","42.49347","-92.34364","Vinay K Kantamneni, MD"
