specialty,community,clinic_site,frequency,group,point_of_origin,consultant
Cardiovascular Disease,Fort Madison,Southeast Iowa Regional Medical Center - Fort Madison,2/MO,UIHC Heart and Vein Center - IRL,Coralville,"Nicholas E Walker, MD"
Cardiovascular Disease,Fort Madison,Southeast Iowa Regional Medical Center - Fort Madison,1/WK,UIHC - Dept of Internal Medicine,Iowa City,"Ily Kristine Yumul, MD"
Electrophysiology Clinical Cardiac,Fort Madison,Southeast Iowa Regional Medical Center - Fort Madison,1/WK,UIHC Heart and Vein Center - IRL,Coralville,"James R Hopson, MD"
Ophthalmology,Garner,Family Eye Care Center,1/MO,North Iowa Eye Clinic,Mason City,"Melissa Marie Summerfield, MD"
Pain Medicine Anes,Garner,Iowa Specialty Clinic - Garner,1/WK,Central States Pain Clinic,West Des Moines,"Christian P Ledet, MD"
Cardiovascular Disease,Greenfield,Adair County Memorial Hospital,2/MO,Iowa Heart Center - West Des Moines,West Des Moines,"Shakuntala V Advani, MD"
General Pediatrics,Greenfield,Adair County Memorial Hospital,2/MO,MercyOne Peds Hospitalist - Des Moines,Des Moines,"Aaron Christopher McClure, DO"
Obstetrics & Gynecology,Greenfield,Adair County Memorial Hospital,1/MO,Atlantic Medical Center / Walk In Clinic,Atlantic,"Marcela Pineda, MD"
Orthopaedic Surgery,Greenfield,Adair County Memorial Hospital,1/WK,Health Trust Physicians Clinic,Winterset,"Teri S Formanek, MD"
Orthopaedic Surgery,Greenfield,Adair County Memorial Hospital,1/WK,Madison County Mem Hospital,Winterset,"Paul Allen Grossmann, MD"
Otolaryngology,Greenfield,Adair County Memorial Hospital,1/MO,Broadlawns ENT Clinic,Des Moines,"Matthew Robert Brown, MD"
Pain Medicine Anes,Greenfield,Adair County Memorial Hospital,2/MO,Broadlawns Pain Management,Des Moines,"Matthew Clark Biggerstaff, DO"
Pain Medicine Anes,Greenfield,Adair County Memorial Hospital,2/MO,Broadlawns Pain Management,Des Moines,"Robert S Rossi, MD"
Physical Medicine & Rehab,Greenfield,Adair County Memorial Hospital,<1/MO,Iowa Clinic - Physical Med/Podiatry,West Des Moines,"Todd C Troll, MD"
Urology,Greenfield,Adair County Memorial Hospital,1/MO,Urology Center of Iowa,Clive,"Jacob Adam Jipp, MD"
Cardiovascular Disease,Grinnell,UnityPoint Grinnell Regional Med Center,2/MO,UnityPoint Waukee Med Park - Cardiology,Waukee,"Nelson Alberto Telles Garcia, MD"
Medical Oncology,Grinnell,UnityPoint Grinnell Regional Med Center,1/WK,Mission Cancer + Blood - John Stoddard,Des Moines,"Steven P Heddinger, MD"
Physical Medicine & Rehab,Grinnell,UnityPoint Grinnell Regional Med Center,2/MO,Iowa Clinic Neurological & Spinal Surgery,Des Moines,"Amy Jean Lynch, DO"
Sleep Medicine IM,Grinnell,UnityPoint Grinnell Regional Med Center,2/MO,DSM Sleep Specialists,Clive,"Melisa Ann Coaker, MD"
Urology,Grinnell,UnityPoint Grinnell Regional Med Center,3/MO,UIHC - Dept of Urology,Iowa City,"James Andrew Brown, MD"
Urology,Grinnell,UnityPoint Grinnell Regional Med Center,3/MO,UIHC - Dept of Urology,Iowa City,"Ryan Lawrence Steinberg, MD"
Urology,Grinnell,UnityPoint Grinnell Regional Med Center,3/MO,UIHC - Dept of Urology,Iowa City,"Annah Jean Vollstedt, MD"
Gastroenterology,Grundy Center,Grundy County Memorial Hosp,1/WK,Cedar Valley Med Spec - Gastroenterology,Waterloo,"Srinivas Kalala, MD"
General Surgery,Grundy Center,Grundy County Memorial Hosp,1/WK,Cedar Valley Med Spec - General Surgery,Waterloo,"Paul Marcus Burgett, MD"
General Surgery,Grundy Center,Grundy County Memorial Hosp,1/WK,McFarland General Surgery  - Marshalltown,Marshalltown,"Stephen Francis Van Buren, MD"
General Surgery,Grundy Center,Grundy County Memorial Hosp,1/WK,McFarland General Surgery  - Marshalltown,Marshalltown,"Alison Elizabeth Wilson, MD"
Nephrology,Grundy Center,Grundy County Memorial Hosp,1/MO,Cedar Valley Med Spec - Neph/Rheum,Waterloo,"Tarek M Daoud, MD"
Nephrology,Grundy Center,Grundy County Memorial Hosp,1/MO,Cedar Valley Med Spec - Neph/Rheum,Waterloo,"Vinay K Kantamneni, MD"
Orthopaedic Surgery,Grundy Center,Grundy County Memorial Hosp,1/WK,Cedar Valley Med Spec - Ortho (W Dale),Waterloo,"Robert Boyd Bartelt, MD"
Otolaryngology,Grundy Center,Grundy County Memorial Hosp,1/MO,Cedar Valley Med Spec - ENT,Waterloo,"Kenny David Rodriguez, MD"
Cardiovascular Disease,Guthrie Center,Guthrie County Hospital,2/MO,Iowa Heart Center - West Des Moines,West Des Moines,"Mark S Bissing, DO"
General Pediatrics,Guthrie Center,Guthrie County Hospital,1/WK,GCH Family Medicine - Stuart,Stuart,"Cody Marie Silker, DO"
General Surgery,Guthrie Center,Guthrie County Hospital,2/MO,Iowa Specialty Surgeons,West Des Moines,"Paul A Conte, MD"
Ophthalmology,Guthrie Center,Guthrie County Hospital,1/MO,Ilumin,"Omaha, NE","Brandon Matthew Menke, MD"
Orthopaedic Surgery,Guthrie Center,Guthrie County Hospital,1/WK,Greene County Specialty Clinic,Jefferson,"Jeffrey Robert Wahl, DO"
Otolaryngology,Guthrie Center,Guthrie County Hospital,1/WK,McFarland Clinic - Duff Ave,Ames,"Austin Bancroft, MD"
Physical Medicine & Rehab,Guthrie Center,Guthrie County Hospital,1/MO,Iowa Clinic - Physical Med/Podiatry,West Des Moines,"Todd C Troll, MD"
Pulmonary Disease,Guthrie Center,Guthrie County Hospital,1/MO,Iowa Clinic Pulmonary,West Des Moines,"Angela S Collins, MD"
Pulmonary Disease,Guthrie Center,Guthrie County Hospital,1/MO,Iowa Clinic Pulmonary,West Des Moines,"Amerlon L Enriquez, MD"
Cardiovascular Disease,Guttenberg,Guttenberg Municipal Hospital,1/MO,Medical Associates Clinic - East,Dubuque,"Rami Sabbah Eltibi, MD"
Cardiovascular Disease,Guttenberg,Guttenberg Municipal Hospital,1/MO,Medical Associates Clinic - East,Dubuque,"Thomas M Johnson, MD"
Cardiovascular Disease,Guttenberg,Guttenberg Municipal Hospital,1/MO,UnityPoint Cardiology - Dubuque,Dubuque,"Tauseef Ali Khan, MD"
Ophthalmology,Guttenberg,Guttenberg Municipal Hospital,2/MO,Fuerste Eye Clinic,Dubuque,"Juan Carlos Nieto, MD"
Orthopaedic Surgery,Guttenberg,Guttenberg Municipal Hospital,1/MO,Medical Associates Clinic - West,Dubuque,"Kyle William Korth, MD"
Orthopaedic Surgery,Guttenberg,Guttenberg Municipal Hospital,1/MO,Dubuque Orthopaedic Surgeons PC,Dubuque,"Stephen E Pierotti, MD"
Orthopaedic Surgery,Guttenberg,Guttenberg Municipal Hospital,1/MO,Dubuque Orthopaedic Surgeons PC,Dubuque,"Bryan Nicholas Trumm, MD"
Otolaryngology,Guttenberg,Guttenberg Municipal Hospital,1/MO,Medical Associates Clinic - East,Dubuque,"Charles Allen Parker, MD"
Cardiovascular Disease,Hamburg,George C Grape Community Hospital,2/MO,Methodist Phyisican Clinic Heart Care,Council Bluffs,"Joseph T Ayoub, MD"
Cardiovascular Disease,Hamburg,George C Grape Community Hospital,1/WK,Nebraska Heart Institute,"Lincoln, NE","Rebecca Susan Rundlett, MD"
General Surgery,Hamburg,George C Grape Community Hospital,2/MO,Methodist Phy Clinic General Surgery,Council Bluffs,"Eric Matthew Bendorf, MD"
General Surgery,Hamburg,George C Grape Community Hospital,2/MO,Methodist Phy Clinic General Surgery,Council Bluffs,"Jered Lawrence Windowski, MD"
Hematology-Oncology,Hamburg,George C Grape Community Hospital,2/MO,Heartland Oncology & Hematology,Council Bluffs,"Sakeer Hussain, MD"
Neurological Surgery,Hamburg,George C Grape Community Hospital,1/MO,MD West One,"Omaha, NE","John Samuel Treves, MD"
Orthopaedic Surgery,Hamburg,George C Grape Community Hospital,1/MO,MD West One,"Omaha, NE","James Keith Mantone, MD"
Urology,Hamburg,George C Grape Community Hospital,2/MO,University of Nebraska Med Ctr,"Omaha, NE","Larry E Siref, MD"
Cardiovascular Disease,Hampton,Franklin General Hospital,1/WK,Mason City Clinic PC,Mason City,"Muhammad Anwar Al Sharif, DO"
General Surgery,Hampton,Franklin General Hospital,1/WK,Mason City Clinic PC,Mason City,"Harsha Upashanta Jayawardena, MD"
Neurology,Hampton,Franklin General Hospital,1/MO,Mason City Clinic PC,Mason City,"Rajinder Kumar Verma, MD"
Obstetrics & Gynecology,Hampton,Franklin General Hospital,2/MO,MercyOne Family Med Residency - Mason City,Mason City,"Chad Michael McCambridge, MD"
Orthopaedic Surgery,Hampton,Franklin General Hospital,2/MO,Mason City Clinic PC,Mason City,"Timothy A Gibbons, MD"
Otolaryngology,Hampton,Franklin General Hospital,1/WK,Mason City Clinic PC,Mason City,"Trisha Lynn Thoma, MD"
Urology,Hampton,Franklin General Hospital,1/MO,Mason City Clinic PC,Mason City,"Christopher Edelen Adams, MD"
Allergy & Immunology,Harlan,Myrtue Medical Center,2/MO,Allergy Asthma & Immun Assoc,"Omaha, NE","James M Tracy, DO"
Cardiovascular Disease,Harlan,Myrtue Medical Center,1/WK,CHI Health Cardiology,"Omaha, NE","Venkata Mahesh Babu Alla, MD"
Cardiovascular Disease,Harlan,Myrtue Medical Center,1/MO,Methodist Phyisican Clinic Heart Care,Council Bluffs,"Joseph T Ayoub, MD"
Cardiovascular Disease,Harlan,Myrtue Medical Center,1/WK,CHI Heart and Vascular Specialists,"Omaha, NE","Scott C Carollo, MD"
Cardiovascular Disease,Harlan,Myrtue Medical Center,1/WK,CHI Health Cardiology,"Omaha, NE","Khagendra Bikram Dahal, MD"
Cardiovascular Disease,Harlan,Myrtue Medical Center,2/WK,The Heart Institute,"Omaha, NE","Michael M Dehning, MD"
Cardiovascular Disease,Harlan,Myrtue Medical Center,1/WK,CHI Health Cardiology,"Omaha, NE","Michael G Del Core, MD"
Endocrinology Diabetes Metaboli,Harlan,Myrtue Medical Center,1/MO,"Diabetes and Endocrine Associates, PC","Omaha, NE","Radha Andukuri, MD"
Gastroenterology,Harlan,Myrtue Medical Center,2/MO,Midwest GI Associates PC,"Omaha, NE","Alexander B Bernal, MD"
Medical Oncology,Harlan,Myrtue Medical Center,1/MO,Heartland Oncology & Hematology,Council Bluffs,"Sakeer Hussain, MD"
Nephrology,Harlan,Myrtue Medical Center,1/MO,CHI Health Creighton University Med Cent,"Omaha, NE","Mohammed Naser Nazmul, MD"
Neurological Surgery,Harlan,Myrtue Medical Center,1/MO,Doctor's Building North,"Omaha, NE","Ric Edee Jensen, MD"
Neurological Surgery,Harlan,Myrtue Medical Center,1/MO,MD West One,"Omaha, NE","Guy Allen Music, MD"
Neurology,Harlan,Myrtue Medical Center,2/MO,St Anthony Clinic - Carroll,Carroll,"Brian Lee Boes, MD"
Ophthalmology,Harlan,Myrtue Medical Center,1/MO,Omaha Eye & Laser Institute,"Omaha, NE","Sao Jang Liu, MD"
Ophthalmology,Harlan,Myrtue Medical Center,1/MO,University of Nebraska Med Ctr,"Omaha, NE","Ivey Louise Thornton, MD"
Orthopaedic Surgery,Harlan,Myrtue Medical Center,2/MO,Miller Orthopedic Specialists,Council Bluffs,"Caliste Iv Hsu, MD"
Otolaryngology,Harlan,Myrtue Medical Center,1/WK,Family ENT Clinic,"Omaha, NE","Paul S Sherrerd, MD"
Pain Medicine Neurology,Harlan,Myrtue Medical Center,2/MO,CHI Health Creighton University Med Cent,"Omaha, NE","Charles Christopher Schlaepfer, MD"
Plastic Surgery,Harlan,Myrtue Medical Center,2/MO,Dr Douglas J Ramos,"Omaha, NE","Douglas J Ramos, MD"
Pulmonary Disease,Harlan,Myrtue Medical Center,2/MO,Methodist Phyicians Clinic Pulmonary/Neurology,Council Bluffs,"Sumit Mukherjee, MD"
Thoracic & Cardiac Surgery,Harlan,Myrtue Medical Center,1/MO,University of Nebraska Med Ctr,"Omaha, NE","David Benjamin Berkheim, MD"
Urology,Harlan,Myrtue Medical Center,1/WK,Adult & Pediatric Urology PC,"Omaha, NE","John D Horgan, MD"
Vascular Surgery,Harlan,Myrtue Medical Center,1/MO,Methodist Health Systems,"Omaha, NE","Anjan Jyoti Talukdar, MD"
Cardiovascular Disease,Hawarden,Hawarden Regional Healthcare,1/MO,MercyOne Clinic Heart & Vascular Center - Sioux City,Sioux City,"Ida Lourdes Mazza, MD"
General Surgery,Hawarden,Hawarden Regional Healthcare,2/MO,Orange City Health System,Orange City,"Daniel Jordan Locker, MD"
General Surgery,Hawarden,Hawarden Regional Healthcare,2/MO,Orange City Health System,Orange City,"Steven Carl Locker, MD"
General Surgery,Hawarden,Hawarden Regional Healthcare,2/MO,Orange City Health System,Orange City,"Brent Eric Nykamp, MD"
Orthopaedic Surgery,Hawarden,Hawarden Regional Healthcare,2/MO,"CNOS, PC","Dakota Dunes, SD","Joshua Conor Locker, MD"
Otolaryngology,Hawarden,Hawarden Regional Healthcare,1/MO,ENT Consultants,"Dakota Dunes, SD","Sarah Powell, MD"
Urology,Hawarden,Hawarden Regional Healthcare,1/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Craig A Block, MD"
Gastroenterology,Humboldt,Humboldt County Memorial Hospital,1/WK,Iowa Specialty Hospital - Clarion,Clarion,"Kenneth W Adams, DO"
General Surgery,Humboldt,Humboldt County Memorial Hospital,2/MO,UnityPoint Surgery Center - Fort Dodge,Fort Dodge,"Darren Leslie Croo, MD"
General Surgery,Humboldt,Humboldt County Memorial Hospital,2/MO,UnityPoint Surgery Center - Fort Dodge,Fort Dodge,"Ericha Lee Worple, DO"
Interventional Cardiology,Humboldt,Humboldt County Memorial Hospital,1/MO,Iowa Heart Center - Fort Dodge,Fort Dodge,"John Michael S Chua Chicao, MD"
Medical Oncology,Humboldt,Humboldt County Memorial Hospital,2/MO,McFarland Norma Schmoker Cancer Center,Fort Dodge,"Sarah Anne Tofilon, MD"
Obstetrics & Gynecology,Humboldt,Humboldt County Memorial Hospital,2/MO,UnityPoint Clinic OB/GYN - Fort Dodge,Fort Dodge,"David Mile Ilceski, MD"
Orthopaedic Surgery,Humboldt,Humboldt County Memorial Hospital,3/MO,Orthopaedic Specialist / Fort Dodge Clinic,Fort Dodge,"Emile C Li, MD"
Otolaryngology,Humboldt,Humboldt County Memorial Hospital,1/MO,Wellendorf ENT,Carroll,"Tracey G Wellendorf, MD"
Urology,Humboldt,Humboldt County Memorial Hospital,2/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Daniel Ames Olsen, DO"
Dermatology,Ida Grove,Horn Memorial Hospital,2/MO,Dunes Dermatology,"Dakota Dunes, SD","Patrick Kwame Safo, MD"
General Surgery,Ida Grove,Horn Memorial Hospital,1/WK,"CNOS, PC","Dakota Dunes, SD","James Ronald Hegvik, MD"
Nephrology,Ida Grove,Horn Memorial Hospital,1/MO,Renal Associates,"Dakota Dunes, SD","Jerold Clancy Erlandson, MD"
Obstetrics & Gynecology,Ida Grove,Horn Memorial Hospital,2/MO,Siouxland OB & Gyn PC,Sioux City,"Chandler Alexandra Kasuske, MD"
Ophthalmology,Ida Grove,Horn Memorial Hospital,1/MO,Bruening Eye Specialists,"Dakota Dunes, SD","Beth Kollars Bruening, MD"
Orthopaedic Surgery,Ida Grove,Horn Memorial Hospital,2/WK,"CNOS, PC","Dakota Dunes, SD","Benjamin Todd Bissell, MD"
Orthopaedic Surgery,Ida Grove,Horn Memorial Hospital,2/WK,"CNOS, PC","Dakota Dunes, SD","Steven J Meyer, MD"
Otolaryngology,Ida Grove,Horn Memorial Hospital,1/MO,Wellendorf ENT,Carroll,"Tracey G Wellendorf, MD"
Urology,Ida Grove,Horn Memorial Hospital,2/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Andrew Elliott Bourne, MD"
Vascular Surgery,Ida Grove,Horn Memorial Hospital,1/MO,Vascular & Interventional Specialists,"Dakota Dunes, SD","Neal Khurana, MD"
Cardiovascular Disease,Independence,Buchanan County Health Center,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Fahed Hassib Al Darazi, MD"
Cardiovascular Disease,Independence,Buchanan County Health Center,2/MO,UnityPoint Allen Cardiovascular Center,Waterloo,"Khalil Ibrahim Anouti, MD"
Cardiovascular Disease,Independence,Buchanan County Health Center,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Keith Jon Kopec, MD"
Cardiovascular Disease,Independence,Buchanan County Health Center,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Andreas Kyvernitakis, MD"
Cardiovascular Disease,Independence,Buchanan County Health Center,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Laila Alexandra Payvandi, MD"
Cardiovascular Disease,Independence,Buchanan County Health Center,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Boothapuri Venkatesh, MD"
Cardiovascular Disease,Independence,Buchanan County Health Center,1/WK,UnityPoint Clinic Cardiology - Cedar Rapids,Cedar Rapids,"Ankur Vyas, MD"
General Surgery,Independence,Buchanan County Health Center,2/WK,Cedar Valley Med Spec - General Surgery,Waterloo,"Brian Daniel Gerrelts, MD"
General Surgery,Independence,Buchanan County Health Center,1/MO,Cedar Valley Med Spec - Breast Care Center,Waterloo,"Jayson Eric Gesme, MD"
Medical Oncology,Independence,Buchanan County Health Center,2/MO,Oncology Assoc of Cedar Rapids,Cedar Rapids,"Jasmine Sabah Nabi, MD"
Nephrology,Independence,Buchanan County Health Center,2/MO,Cedar Valley Med Spec - Neph/Rheum,Waterloo,"Vinay K Kantamneni, MD"
Orthopaedic Surgery,Independence,Buchanan County Health Center,3/MO,Cedar Valley Med Spec - OrthoAgility Center,Cedar Falls,"Benjamin Lee Torrez, DO"
Pain Medicine Anes,Independence,Buchanan County Health Center,2/MO,Linn County Anesthesiologists,Hiawatha,"Kyle Edward Morrissey, DO"
Physical Medicine & Rehab,Independence,Buchanan County Health Center,2/MO,UnityPoint - St Luke's Hospital,Cedar Rapids,"Devin Robert Hilar Smith, MD"
Pulmonary Disease,Independence,Buchanan County Health Center,<1/MO,UnityPoint Clinic Multi Specialty - CR,Cedar Rapids,"Hamad Azam, MD"
Rheumatology,Independence,Buchanan County Health Center,3/MO,Dubuque Rheumatology,Dubuque,"George B Isaac, MD"
Urology,Independence,Buchanan County Health Center,<1/MO,PCI Urology Clinic,Cedar Rapids,"Steven R Mindrup, MD"
Urology,Independence,Buchanan County Health Center,<1/MO,PCI Urology Clinic,Cedar Rapids,"Thomas D Richardson, MD"
Urology,Independence,Buchanan County Health Center,<1/MO,PCI Urology Clinic,Cedar Rapids,"Jonathan M Rippentrop, MD"
Cardiovascular Disease,Iowa Falls,Hansen Family Hospital,1/WK,Mason City Clinic PC,Mason City,"Muhammad Anwar Al Sharif, DO"
General Surgery,Iowa Falls,Hansen Family Hospital,1/WK,Mason City Clinic PC,Mason City,"Kathryn Leighton Schwalbe, DO"
Neurological Surgery,Iowa Falls,Hansen Family Hospital,1/MO,MercyOne North Iowa Neurosurgery,Mason City,"Solomon Mugisha Ondoma, MD"
Ophthalmology,Iowa Falls,Hansen Family Hospital,1/3WK,Wolfe Eye Clinic - Ames,Ames,"Steven Oscar Anderson, MD"
Orthopaedic Surgery,Iowa Falls,Hansen Family Hospital,3/MO,Mason City Clinic PC,Mason City,"Darron M Jones, MD"
Otolaryngology,Iowa Falls,Hansen Family Hospital,3/MO,Mason City Clinic PC,Mason City,"Vishram Jalukar, MD"
Urology,Iowa Falls,Hansen Family Hospital,1/MO,Mason City Clinic PC,Mason City,"Christopher Edelen Adams, MD"
Urology,Iowa Falls,Hansen Family Hospital,1/MO,Mason City Clinic PC,Mason City,"Steven Patrick Thoma, MD"
Cardiovascular Disease,Iowa Falls,McFarland Clinic - Iowa Falls,2/MO,McFarland Clinic - Mary Greeley,Ames,"Jason Thomas Rasmussen, MD"
Medical Oncology,Iowa Falls,McFarland Clinic - Iowa Falls,1/MO,McFarland - William Bliss Cancer Center,Ames,"Venkatesh Krishnamurthy Rudrapatna, MD"
Nephrology,Iowa Falls,McFarland Clinic - Iowa Falls,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Jacob C Alexander, MD"
Orthopaedic Surgery,Iowa Falls,McFarland Clinic - Iowa Falls,1/MO,McFarland Clinic - Duff Ave,Ames,"Bryan August Warme, MD"
Cardiovascular Disease,Jefferson,Greene County Med Center,2/MO,UnityPoint Clinic Cardiology - Methodist Plaza,Des Moines,"Craig A Stark, MD"
Gastroenterology,Jefferson,Greene County Med Center,1/MO,Iowa Digestive Disease Center - Clive,Clive,"Thomas L Martin, DO"
Physical Medicine & Rehab,Jefferson,Greene County Med Center,1/MO,Iowa Clinic - Physical Med/Podiatry,West Des Moines,"Todd C Troll, MD"
Urology,Jefferson,Greene County Med Center,1/MO,Urology Center of Iowa,Clive,"Trevor Timothy Wild, MD"
Vascular Surgery,Jefferson,Greene County Med Center,1/MO,Iowa Clinic Cardiovascular - West Des Moines,West Des Moines,"Nicholas Mark Southard, DO"
General Surgery,Jefferson,Greene County Specialty Clinic,1/WK,Stewart Memorial Community Hospital,Lake City,"Josh Anthony Smith, DO"
Allergy & Immunology,Jefferson,McFarland Clinic - Jefferson,1/MO,McFarland Clinic - Duff Ave,Ames,"Edward G Nassif, MD"
Cardiovascular Disease,Jefferson,McFarland Clinic - Jefferson,2/MO,McFarland Clinic - Mary Greeley,Ames,"Stuart D Christenson, MD"
General Surgery,Jefferson,McFarland Clinic - Jefferson,1/MO,McFarland Clinic/Urgent Care - Carroll,Carroll,"Mark Nathaniel Abraham, MD"
Medical Oncology,Jefferson,McFarland Clinic - Jefferson,1/MO,McFarland - William Bliss Cancer Center,Ames,"Joseph J Merchant, MD"
Neurology,Jefferson,McFarland Clinic - Jefferson,1/MO,McFarland Clinic - Medical Arts Building,Ames,"David B Moore, MD"
Medical Oncology,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Dept of Ortho Surgery & Rehab,Iowa City,"Benjamin James Miller, MD"
Neurology,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Dept of Neurology,Iowa City,"Christopher Scott Nance, MD"
Neurology,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Dept of Neurology,Iowa City,"Andrea Jean Swenson, MD"
Neuromuscular Medicine,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Katherine D Mathews, MD"
Neuromuscular Medicine,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Dimah Nayef Saade, MD"
Orthopaedic Surgery,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Dept of Ortho Surgery & Rehab,Iowa City,"Joshua Brent Holt, MD"
Orthopaedic Surgery,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Dept of Ortho Surgery & Rehab,Iowa City,"Heather Renee Kowalski, MD"
Pediatric - Child Neurology,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Michael Anthony Ciliberto, MD"
Pediatric Medical Genetics,Johnston,UIHC Specialty Clinic - Johnston,2/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"John Andrew Bernat, MD"
Pediatric Medical Genetics,Johnston,UIHC Specialty Clinic - Johnston,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Amy Rebecca Calhoun, MD"
Pediatric Medical Genetics,Johnston,UIHC Specialty Clinic - Johnston,<1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Alpa Sidhu, MD"
Pediatric Urology,Johnston,UIHC Specialty Clinic - Johnston,2/MO,UIHC - Dept of Urology,Iowa City,"Gina Marie Lockwood, MD"
Pulmonary Disease,Johnston,UIHC Specialty Clinic - Johnston,<1/MO,UIHC - Dept of Internal Medicine,Iowa City,"Douglas B Hornick, MD"
Pulmonary Disease,Johnston,UIHC Specialty Clinic - Johnston,1/WK,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Scott J Sheets, DO"
Ophthalmology,Keokuk,River Cities Ophthalmology - Keokuk,2/MO,River Cities Ophthalmology PC,Fort Madison,"Mark D Reynolds, MD"
General Surgery,Keosauqua,Van Buren County Hospital & Clinic,1/WK,MercyOne Surgical Group - Des Moines,Des Moines,"Ryan J Roe, DO"
Obstetrics & Gynecology,Keosauqua,Van Buren County Hospital & Clinic,2/MO,Womens Health Care Center,"Kirksville, MO","Ralph O Boling, DO"
Orthopaedic Surgery,Keosauqua,Van Buren County Hospital & Clinic,1/MO,Steindler Orthopedic Clinic,Iowa City,"Derek Lincoln Breder, MD"
Pain Medicine Neurology,Keosauqua,Van Buren County Hospital & Clinic,1/MO,Iowa Illinois Pain Consultants,Davenport,"Timothy J Miller, MD"
Pulmonary Disease,Keosauqua,Van Buren County Hospital & Clinic,1/MO,SSM St. Mary's Hospital,"Jefferson City, MO","Mohammad Jarbou, MD"
Rheumatology,Keosauqua,Van Buren County Hospital & Clinic,2/MO,Dr Robert W Jackson,"Kirksville, MO","Robert W Jackson, DO"
Urology,Keosauqua,Van Buren County Hospital & Clinic,2/MO,Premier Specialty Network,"Columbia, MO","Robert Edward Remis, MD"
Allergy & Immunology,Knoxville,Knoxville Area Community Hospital,1/MO,Allergy Asthma & Sinus Center PC,West Des Moines,"Ravinder K Agarwal, MD"
Cardiovascular Disease,Knoxville,Knoxville Area Community Hospital,1/MO,Iowa Heart Center - Mercy Medical Center,Des Moines,"Martin R Aronow, DO"
Cardiovascular Disease,Knoxville,Knoxville Area Community Hospital,2/MO,Iowa Heart Center - Mercy Medical Center,Des Moines,"Aaron Matthew From, MD"
General Surgery,Knoxville,Knoxville Area Community Hospital,1/WK,Iowa Specialty Surgeons,West Des Moines,"Paul A Conte, MD"
General Surgery,Knoxville,Knoxville Area Community Hospital,1/WK,Iowa Specialty Surgeons,West Des Moines,"Timothy Paul Mayfield, MD"
Medical Oncology,Knoxville,Knoxville Area Community Hospital,1/MO,Newton Clinic PC,Newton,"Dennis P Dornbier, DO"
Medical Oncology,Knoxville,Knoxville Area Community Hospital,1/WK,Mission Cancer + Blood - MercyOne Des Moines,Des Moines,"Abdelaziz Mohamed Ibrahim Elhaddad, MD"
Nephrology,Knoxville,Knoxville Area Community Hospital,1/MO,Associates in Kidney Care PLC,Des Moines,"Robert Nelson Smith, DO"
Neurology,Knoxville,Knoxville Area Community Hospital,1/MO,UnityPoint Clinic Nephrology - Fort Dodge,Fort Dodge,"Michael WT Lee, MD"
Neurology,Knoxville,Knoxville Area Community Hospital,1/MO,Capital Orthopaedics & Sports Med,Clive,"Jeffrey Allen Pederson, DO"
Orthopaedic Surgery,Knoxville,Knoxville Area Community Hospital,2/MO,Capital Orthopaedics & Sports Med,Clive,"Mark D Fish, DO"
Orthopaedic Surgery,Knoxville,Knoxville Area Community Hospital,1/WK,Capital Orthopaedics & Sports Med,Clive,"Todd Charles Peterson, DO"
Otolaryngology,Knoxville,Knoxville Area Community Hospital,1/WK,Iowa ENT Center - West Des Moines,West Des Moines,"Stephen R Griffith, MD"
Pain Medicine Anes,Knoxville,Knoxville Area Community Hospital,1/WK,Medical Center Anesthesiologists,Des Moines,"Allen Joseph Eckhoff, MD"
Pain Medicine Anes,Knoxville,Knoxville Area Community Hospital,1/WK,Medical Center Anesthesiologists,Des Moines,"Daniel Wescott Moyse, MD"
Pulmonary Disease,Knoxville,Knoxville Area Community Hospital,1/MO,MercyOne Clinics Pulmonary/Infectious Disease,Des Moines,"Neil R Horning, MD"
Urology,Knoxville,Knoxville Area Community Hospital,2/MO,Urology Center of Iowa,Clive,"Kevin Krishna Birusingh, MD"
